doc_idx,chunk_idx,Source,Target,Description
0,307,"UNIVERSITY OF CALIFORNIA, BERKELEY",CALIFORNIA,"The University of California, Berkeley is located in California"
0,307,CAROL CHRIST,"UNIVERSITY OF CALIFORNIA, BERKELEY","Carol Christ is the Chancellor of the University of California, Berkeley"
0,320,ELON MUSK,TESLA,Elon Musk is the CEO of Tesla
0,320,TESLA,EUROPE,Tesla is expanding its operations to Europe
0,320,ELON MUSK,EUROPE,Elon Musk announced Tesla's expansion to Europe
0,321,HOLMSTRÖM,MILGROM,Holmström and Milgrom co-authored a paper in 1991
0,324,K. MAHNKE,V. MAHNKE,K. Mahnke and V. Mahnke are likely related as they share the same last name
0,330,GOOGLE,ORGANIZATIONAL,Google is an example of an organization that benefits from organizational learning
0,330,AMAZON,ORGANIZATIONAL,Amazon is an example of an organization that benefits from organizational learning
0,330,INDIVIDUAL,ORGANIZATIONAL,Individual learning is linked to organizational learning
0,330,GOOGLE,AMAZON,Google and Amazon are both companies that benefit from individual and organizational learning
0,332,B KOGUT,U ZANDER,B Kogut and U Zander are co-authors of a publication
0,335,B KOGUT,U ZANDER,B Kogut and U Zander are co-authors of a publication
0,338,KROGH,OXFORD UNIVERSITY PRESS,Krogh is a co-author of a book published by Oxford University Press
0,338,OCHIJO,OXFORD UNIVERSITY PRESS,Ochijo is a co-author of a book published by Oxford University Press
0,338,NONAKA,OXFORD UNIVERSITY PRESS,Nonaka is a co-author of a book published by Oxford University Press
0,338,KROGH,OCHIJO,Krogh and Ochijo are co-authors of the book Enabling Knowledge Creation
0,338,KROGH,NONAKA,Krogh and Nonaka are co-authors of the book Enabling Knowledge Creation
0,338,OCHIJO,NONAKA,Ochijo and Nonaka are co-authors of the book Enabling Knowledge Creation
0,342,PETER LANE,STRATEGIC MANAGEMENT JOURNAL,Peter Lane is an author of an article in the Strategic Management Journal
0,342,JANE E. SALK,STRATEGIC MANAGEMENT JOURNAL,Jane E. Salk is an author of an article in the Strategic Management Journal
0,342,MARJORIE A. LYLES,STRATEGIC MANAGEMENT JOURNAL,Marjorie A. Lyles is an author of an article in the Strategic Management Journal
0,342,PETER LANE,JANE E. SALK,Peter Lane and Jane E. Salk are co-authors of an article in the Strategic Management Journal
0,342,PETER LANE,MARJORIE A. LYLES,Peter Lane and Marjorie A. Lyles are co-authors of an article in the Strategic Management Journal
0,342,JANE E. SALK,MARJORIE A. LYLES,Jane E. Salk and Marjorie A. Lyles are co-authors of an article in the Strategic Management Journal
0,343,APPLE,STEVE JOBS,Steve Jobs co-founded Apple
0,343,APPLE,STEVE WOZNIAK,Steve Wozniak co-founded Apple
0,343,APPLE,CUPERTINO,Apple is based in Cupertino
0,343,APPLE,CALIFORNIA,Apple is based in California
0,343,STEVE JOBS,STEVE WOZNIAK,Steve Jobs and Steve Wozniak co-founded Apple together
0,343,STEVE JOBS,CUPERTINO,Steve Jobs co-founded Apple which is based in Cupertino
0,343,STEVE JOBS,CALIFORNIA,Steve Jobs co-founded Apple which is based in California
0,343,STEVE WOZNIAK,CUPERTINO,Steve Wozniak co-founded Apple which is based in Cupertino
0,343,STEVE WOZNIAK,CALIFORNIA,Steve Wozniak co-founded Apple which is based in California
0,346,LAURSEN K,V MAHNKE,Laursen K and V Mahnke co-authored a paper in 2001
0,349,LEONARD-BARTON,SENSIPER,Leonard-Barton and Sensiper co-authored a publication in 1998
0,350,TIM COOK,APPLE,Tim Cook is the CEO of Apple
0,353,NEW YORK,STATUE OF LIBERTY,The Statue of Liberty is located in New York
0,353,NEW YORK,CENTRAL PARK,Central Park is located in New York
0,353,NEW YORK,MANHATTAN,Manhattan is a neighborhood in New York
0,353,NEW YORK,BROOKLYN,Brooklyn is a neighborhood in New York
0,353,NEW YORK CITY POLICE DEPARTMENT,NEW YORK,The New York City Police Department is responsible for maintaining law and order in New York
0,353,JAMES O'NEILL,NEW YORK CITY POLICE DEPARTMENT,James O'Neill is the Commissioner of the New York City Police Department
0,355,MARJORIE A. LYLES,JANE E. SALK,Marjorie A. Lyles and Jane E. Salk are co-authors of a publication
0,357,MAHNKE,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,Mahnke published an article in the Journal of International Business Studies
0,357,VENZIN,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,Venzin published an article in the Journal of International Business Studies
0,357,MAHNKE,VENZIN,Mahnke and Venzin co-authored an article in the Journal of International Business Studies
0,362,MICHAILOVA,K. HUSTED,Michailova and K. Husted co-authored a paper in 2003
0,374,STEPHEN HAWKING,UNIVERSITY OF OXFORD,Stephen Hawking is a notable alumnus of the University of Oxford
0,374,UNIVERSITY OF OXFORD,OXFORD,"The University of Oxford is located in Oxford, England"
0,374,OXFORD,ENGLAND,Oxford is a location in England
0,375,JOHN SMITH,NEW YORK,John Smith is leading the company's expansion efforts in New York
0,375,NEW YORK,LONDON,The company based in New York is a subsidiary of a corporation based in London
0,379,"UNIVERSITY OF CALIFORNIA, BERKELEY",COLLEGE OF ENGINEERING,"The College of Engineering is one of the colleges in the University of California, Berkeley"
0,379,"UNIVERSITY OF CALIFORNIA, BERKELEY",COLLEGE OF NATURAL RESOURCES,"The College of Natural Resources is one of the colleges in the University of California, Berkeley"
0,379,"UNIVERSITY OF CALIFORNIA, BERKELEY",GRADUATE SCHOOL OF JOURNALISM,"The Graduate School of Journalism is one of the schools in the University of California, Berkeley"
0,379,"UNIVERSITY OF CALIFORNIA, BERKELEY",BERKELEY,"The University of California, Berkeley is located in Berkeley"
0,379,"UNIVERSITY OF CALIFORNIA, BERKELEY",CALIFORNIA,"The University of California, Berkeley is located in California"
0,388,THE UNIVERSITY OF CAMBRIDGE,CAMBRIDGE,The University of Cambridge is located in Cambridge
0,388,CAMBRIDGE,ENGLAND,Cambridge is a city in England
0,389,ELON MUSK,TESLA,Elon Musk is the CEO of Tesla
0,389,TESLA,CHINA,Tesla is expanding its operations to China
0,389,NEW YORK TIMES,TESLA,The New York Times reported on Tesla's expansion to China
0,389,ELON MUSK,CHINA,Elon Musk announced Tesla's expansion to China
0,392,"SPENCE, A. M.",JOURNAL OF INTERNATIONAL BUSINESS STUDIES,"Spence, A. M. published an article in the Journal of International Business Studies"
0,400,W. TSAI,MANAGEMENT INTERNATIONAL REVIEW,W. Tsai has published in Management International Review
0,400,S. GHOSHAL,MANAGEMENT INTERNATIONAL REVIEW,S. Ghoshal has published in Management International Review
0,400,W. TSAI,S. GHOSHAL,W. Tsai and S. Ghoshal are co-authors
